Crop,City,Necessary_Measures
Cowpea(Lobia),Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cowpea(Lobia),Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Mizoram,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Mizoram,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Onion,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Mizoram,"Use disease-free seeds, precision irrigation, organic manure."
Potato,Mizoram,"Use disease-free seeds, precision irrigation, organic manure."
Rapeseed &Mustard,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Mizoram,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Mizoram,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Mizoram,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Mizoram,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Tapioca,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Arhar/Tur,Nagaland,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Barley,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,Nagaland,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Cotton(lint),Nagaland,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Ginger,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jute,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Nagaland,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Nagaland,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Mesta,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Nagaland,"Use disease-free seeds, precision irrigation, organic manure."
Ragi,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Nagaland,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Nagaland,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Nagaland,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sunflower,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sunflower,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sweet potato,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tapioca,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Nagaland,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arhar/Tur,Punjab,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Barley,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Punjab,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Gram,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Guar seed,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Punjab,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Punjab,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Punjab,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Urad,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Punjab,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arhar/Tur,Tripura,"Promote intercropping, biofertilizers, efficient irrigation."
Cotton(lint),Tripura,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Gram,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jute,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Tripura,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Mesta,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Tripura,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Tripura,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Urad,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Tripura,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arhar/Tur,Uttar Pradesh,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Banana,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Barley,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coriander,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Uttar Pradesh,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Garlic,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Guar seed,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Uttar Pradesh,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Uttar Pradesh,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Uttar Pradesh,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Uttar Pradesh,"Use disease-free seeds, precision irrigation, organic manure."
Rapeseed &Mustard,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Uttar Pradesh,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Uttar Pradesh,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sannhamp,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Uttar Pradesh,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sunflower,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sweet potato,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Uttar Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
